"pregunta_faq","respuesta"
"¿Qué es la articulación universitaria para egresados de IES?","Es la posibilidad de continuar una Licenciatura en universidades que reconocen materias de tu Tecnicatura Superior de IES."
"¿Quiénes pueden articular?","Egresados de Tecnicaturas Superiores de 3 años de IES pueden acceder a ciclos de Licenciatura en universidades con convenio."
"¿Puedo gestionar una articulación con otra universidad que no esté listada?","Sí, los egresados pueden gestionar articulaciones con cualquier institución que reconozca los trayectos académicos de IES."
"¿Las articulaciones pueden ser presenciales o a distancia?","Sí; algunas universidades ofrecen cursado presencial y otras a distancia, según el convenio vigente."
"¿Dónde puedo consultar las universidades con las que puedo articular mi carrera?","Podés verlas en la sección de cada carrera en el sitio web del IES o comunicarte con el Departamento de Orientación."
"¿Qué beneficios tiene articular con universidades nacionales o privadas?","Permite continuar tus estudios con reconocimiento de materias y obtener un título de grado en menos tiempo."
"¿IES tiene convenios de cooperación académica además de las articulaciones?","Sí, mantiene convenios nacionales e internacionales para investigación, docencia, intercambios y actividades académicas."
"¿Con qué instituciones internacionales hay cooperación?","Con universidades de Chile, Brasil y Colombia, entre otras, para intercambios académicos y actividades conjuntas."
"¿Qué universidades chilenas tienen convenio con IES?","La Universidad de las Américas y la Universidad de Viña del Mar mantienen convenios de cooperación académica con IES."
"¿Qué universidad brasileña tiene convenio con IES?","La Universidad Luterana de Brasil mantiene un acuerdo de intercambio académico con IES desde 1995."
"¿Qué universidad colombiana tiene convenio con IES?","La Universidad Mariana de San Juan de Pasto tiene un convenio que permite intercambios y participación docente en eventos académicos."
"Soy Tec. Sup. en Administración de Empresas (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Administración en Universidad de Congreso, Universidad FASTA, Universidad Nacional de Quilmes o Universidad Siglo 21."
"Soy Tec. Sup. en Gestión Contable y Financiera (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Administración en Universidad de Congreso, Universidad FASTA o Universidad Nacional de Quilmes, la Lic. en Desarrollo de Negocios Digitales en FASTA, o Contador Público en Universidad Siglo 21."
"Soy Tec. Sup. en Administración de Recursos Humanos (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Administración o la Lic. en Gestión del Talento Humano en Universidad FASTA, la Lic. en Gestión de Recursos Humanos en Universidad de Congreso, o la Lic. en Gestión de Capital Humano en Universidad de Belgrano."
"Soy Tec. Sup. en Comercio Internacional (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Administración o la Lic. en Comercio Internacional en Universidad de Congreso, Universidad Nacional de Quilmes, Universidad Siglo 21 o Universidad Nacional de Villa María, y la Lic. en Comercio Electrónico en la UTN Córdoba."
"Soy Tec. Sup. en Relaciones Públicas (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Periodismo o la Lic. en Diseño y Comunicación Transmedia en Universidad FASTA."
"Soy Tec. Sup. en Gestión de la Producción Agropecuaria (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Administración en Universidad de Congreso, o la Lic. en Gestión de Agroempresas en Universidad de Belgrano, o la Lic. en Administración Agraria en Universidad Siglo 21."
"Soy Tec. Sup. en Turismo (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Turismo en Universidad FASTA, Universidad de Congreso, Universidad Provincial de Córdoba o Universidad de Belgrano, o la Lic. en Hotelería y Turismo en Universidad Nacional de Quilmes."
"Soy Téc. Sup. en Logística (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Logística Integral en Universidad de Belgrano, la Lic. en Comercio Electrónico en UTN Córdoba o la Lic. en Comercio Internacional en Universidad Nacional de Quilmes."
"Soy Analista de Mercados y Estrategias de Comercialización (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Comercialización en Universidad de Congreso, Universidad FASTA, Universidad Nacional de Quilmes o Universidad Siglo 21, o la Lic. en Comercio Electrónico en UTN Córdoba."
"Soy Tec. Sup. en Diseño de Multimedios o Publicidad (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Periodismo o la Lic. en Diseño y Comunicación Transmedia en Universidad FASTA, o la Lic. en Publicidad en Universidad Siglo 21."
"Soy Tec. Sup. en Diseño Gráfico y Publicitario (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Diseño en Universidad Provincial de Córdoba o la Lic. en Diseño Gráfico en Universidad Siglo 21."
"Soy Tec. Sup. en Higiene y Seguridad Ambiental (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Higiene y Seguridad en el Trabajo en Universidad FASTA."
"Soy Analista de Sistemas de Computación (IES), ¿con qué otras carreras puedo articular después de graduarme?","Podés continuar la Lic. en Tecnología Educativa en Universidad FASTA o UTN Córdoba, Ingeniería en Software o Lic. en Informática en Universidad Siglo 21."
"¿Cuándo son los próximos cursillos de ingreso?","Del 6 al 15 de agosto, de 15 a 17 hs."
"¿Dónde se realizan las charlas informativas sobre las carreras?","En Rondeau 165, durante la Jornada de Puertas Abiertas del 1 de agosto a las 11 hs."
"¿Qué puedo hacer en las charlas informativas de IES?","Podés conocer a los directores de carrera y resolver todas tus dudas sobre la carrera y la metodología de enseñanza."
"¿Qué documentación necesito para inscribirme en IES?","Debés presentar fotocopia de DNI, constancia de CUIL, certificado de estudios secundarios completo y autenticado, certificado de salud psicofísico, realizar una entrevista con el DOA y abonar la matrícula."
"¿Dónde entrego la documentación para inscribirme?","Podés presentarla en Mesa de Informes (Rondeau 165) o enviarla por correo postal."
"¿Qué debo hacer si tengo más de 25 años y no terminé el secundario?","Consultá por las disposiciones especiales para mayores de 25 años sin título secundario."
"¿Dónde se realiza la entrevista de ingreso?","En el Departamento de Orientación y Asesoramiento de IES."
"¿Cuál es el valor y duración de la matrícula?","La matrícula tiene validez por un semestre."
"¿Cuándo debo pagar la matrícula?","Se abona al momento de la inscripción para reservar tu lugar."
"¿Qué significa que la matrícula tiene validez por un semestre?","Que debés renovarla cada semestre para continuar cursando."
"¿Cómo se pagan las materias en IES?","Solo abonás las materias que cursás, según los créditos de cada una."
"¿Es obligatorio cursar todas las materias del semestre?","No, podés elegir cuántas materias cursar cada semestre."
"¿Qué formas de pago están disponibles?","Podés pagar en efectivo, giro postal, depósito o transferencia bancaria, o con tarjeta Cordobesa, Naranja u otras. También podés usar cheques de pago diferido."
"¿Puedo pagar todo el semestre de una sola vez?","Sí, podés abonar el semestre completo de contado al inicio."
"¿Se puede pagar en cuotas?","Sí, según la tarjeta utilizada, podés pagar en una o varias cuotas."
"¿Dónde puedo gestionar las equivalencias de materias aprobadas en otra institución?","En la Pro Secretaría Académica o enviando la documentación por correo postal a Rondeau 165, 2° piso, Córdoba Capital."
"¿Qué documentos necesito para solicitar equivalencias externas?","Analítico legalizado y programas de materias legalizados con contenido y bibliografía, autenticados según la institución o el país donde estudiaste."
"¿Puedo presentar copias simples para consultar equivalencias?","Sí, podés entregar documentación informal en copia simple para una consulta previa."
"¿Cómo inicio el trámite de equivalencias externas?","Completá la Planilla de Consulta de Equivalencias y entregá la documentación en Pro Secretaría Académica o por correo postal."
"¿Cuánto tarda la respuesta sobre mis equivalencias?","En un plazo máximo de dos semanas recibirás la resolución por mail con las materias otorgadas."
"¿Debo estar matriculado para que se carguen mis equivalencias?","Sí, las equivalencias se cargan una vez que estás matriculado."
"¿Cuánto cuesta el trámite de equivalencias externas?","Cada materia aprobada por equivalencia se abona al 50% de su valor base en modalidad presencial."
"¿Las equivalencias internas entre carreras de IES tienen costo?","No, no tienen costo ni requieren presentar documentación; solo debés completar la planilla web."
"¿Qué debo hacer para solicitar equivalencias internas?","Completá la Planilla de Consulta de Equivalencias disponible en la web de IES."
"Soy egresado de nivel superior, ¿debo hacer el cursillo de ingreso?","No, los egresados del nivel superior (terciario o universitario) pueden exceptuarse del cursillo presentando copia del título o constancia de egreso."
"¿Cómo gestiono la excepción del cursillo por ser egresado?","Debés completar la planilla web e indicar 'egresado' en el campo correspondiente."
"¿Puedo solicitar equivalencias si estudié en otra provincia o país?","Sí, pero la documentación debe estar autenticada por el Ministerio de Educación o Apostillada si fue en otro país."
"¿Dónde puedo llamar para consultas sobre inscripción o equivalencias?","Podés comunicarte con el Área de Informes al 0810-555-1717."
"¿Qué son las becas corporativas?","Son descuentos para empleados y familiares de organizaciones con convenio con IES, sin costo adicional para la empresa."
"¿Qué beneficios incluyen las becas corporativas?","Descuentos en las cuotas y aranceles para trabajadores y familiares de empresas con convenio vigente."
"¿Qué tipos de becas económicas ofrece IES?","Hay becas para hermanos que estudien en IES, para mejores promedios del secundario y por ayuda económica."
"¿Cómo propongo que mi empresa forme parte del programa de becas corporativas?","Podés sugerirla para que IES la incorpore al listado de convenios y puedas acceder a los beneficios."
"¿Qué es el Departamento de Orientación al Alumno (DOA)?","Es un área de apoyo que acompaña al estudiante desde el ingreso hasta el final de la carrera, ofreciendo talleres y asesoramiento personalizado."
"¿Para qué sirve el DOA?","Brinda orientación y contención a los alumnos que enfrentan dificultades personales o académicas, ayudándolos a potenciar sus habilidades."
"¿Quiénes integran el DOA?","Un equipo interdisciplinario de profesionales especializados en orientación, psicopedagogía y acompañamiento académico."
"¿Desde cuándo puedo acceder al DOA?","Desde el momento en que ingresás a IES, podés consultar al DOA en cualquier etapa de tu carrera."
